"New Source ID"	"Authors & Year"	"Full Title"	"Journal or Source"	"DOI"	"Stable Link"	"Accessibility"	"Directness Class"	"Methanol Route"	"Catalyst Family"	"Impurity Category"	"Impurity Species"	"Experiment Type"	"Methanol Metric Likely Available?"	"Clean Baseline Likely Available?"	"Impurity Concentration Likely Available?"	"Time-on-Stream Likely Available?"	"Recovery Likely Available?"	"Likely Modeling Role"	"Gap Filled"	"Reason for Inclusion"	"Duplicate Check Notes"	"Full Text Obtained?"	"Priority Rank"
"T1-016"	"Anže Prašnikar & Blaž Likozar (2022)"	"Sulphur poisoning, water vapour and nitrogen dilution effects on copper-based catalyst dynamics, stability and deactivation during CO2 reduction reactions to methanol"	"Reaction Chemistry & Engineering, 7, 1073–1082"	"10.1039/D1RE00486G"	"https://pubs.rsc.org/en/content/articlehtml/2022/re/d1re00486g"	"Fully open"	"T1-A"	"CO2 + H2 to methanol"	"Multiple Cu-based catalysts"	"Sulfur; Water / moisture; Industrial diluent"	"H2S; H2O; N2"	"Continuous co-feed; concentration/condition comparison; time-on-stream"	"Yes"	"Yes"	"Yes"	"Yes"	"Unclear"	"Direct impurity-penalty and deactivation model"	"Water/moisture; sulfur; continuous exposure"	"Directly studies H2S, water vapour, and nitrogen dilution during methanol synthesis across Cu catalyst formulations."	"No apparent overlap with T1-001–T1-015; independent research group."	"Yes"	"1"
"T1-017"	"Marina Bukhtiyarova, Thomas Lunkenbein, Kevin Kähler & Robert Schlögl (2017)"	"Methanol Synthesis from Industrial CO2 Sources: A Contribution to Chemical Energy Conversion"	"Catalysis Letters, 147, 416–427"	"10.1007/s10562-016-1960-x"	"https://pure.mpg.de/rest/items/item_2388126_2/component/file_2388673/content"	"Fully open"	"T1-A"	"Industrial-source CO2 + H2 to methanol"	"Commercial Cu/ZnO/Al2O3"	"Hydrocarbon; Industrial CO2 impurity"	"Benzene"	"Continuous benzene co-feed; long time-on-stream"	"Yes"	"Yes"	"Yes"	"Yes"	"Unclear"	"Hydrocarbon impurity penalty and realistic-CO2 validation"	"Aromatics; industrial CO2; long-term exposure"	"Includes time-on-stream methanol testing with and without benzene in an industrial-CO2 context."	"Independent Max Planck study; no apparent shared dataset with current T1 sources."	"Yes"	"5"
"T1-018"	"Simon A. Kondrat et al. (2017)"	"The effect of sodium species on methanol synthesis and water–gas shift Cu/ZnO catalysts: utilising high purity zincian georgeite"	"Faraday Discussions, 197, 287–307"	"10.1039/C6FD00202A"	"https://pubs.rsc.org/en/content/articlehtml/2017/fd/c6fd00202a"	"Fully open"	"T1-E"	"CO2 hydrogenation to methanol using pre-contaminated catalysts"	"Cu/ZnO from zincian georgeite precursors"	"Alkali / alkaline earth"	"Na+"	"Pre-contaminated catalyst; concentration series"	"Yes"	"Yes"	"Yes"	"Yes"	"No"	"Catalyst-contaminant modifier and Na dose-response"	"Alkali contamination; concentration response"	"Original Na-content series from below 100 ppm to high loading with methanol yields and catalyst characterization."	"Related catalyst-precursor papers exist, but this is the impurity-focused original study; retain only this dataset."	"Yes"	"18"
"T1-019"	"Vetkav R. Parameswaran, Sunggyu Lee & Irving Wender (1989)"	"The Role of Water in Methanol Synthesis"	"Fuel Science and Technology International, 7(7), 899–918"	"10.1080/08843758908962273"	"https://scholarsmine.mst.edu/che_bioeng_facwork/322/"	"Paywalled"	"T1-C"	"CO-rich liquid-phase methanol synthesis"	"CuO/ZnO/Al2O3"	"Water / moisture"	"H2O"	"Water-content series; time-on-stream"	"Yes"	"Yes"	"Yes"	"Yes"	"Unclear"	"Primary water dose-response model for LPMEOH"	"Water/moisture; concentration series"	"The abstract verifies original slurry-reactor experiments in which water content was varied and methanol rate and deactivation were measured."	"Possible overlap with the 1989 Energy & Fuels paper from the same group; compare full texts before row-level extraction."	"No"	"2"
"T1-020"	"Timothy Tartamella & Sunggyu Lee (1996)"	"Role of In-Situ Produced Methanol on the Catalyst Deactivation in the Liquid Phase Methanol Synthesis Process"	"Fuel Science and Technology International"	"10.1080/08843759608947607"	"https://scholarsmine.mst.edu/che_bioeng_facwork/321/"	"Paywalled"	"T1-C"	"Liquid-phase methanol synthesis"	"Cu-based LPMEOH catalyst"	"Water / moisture; Oxygenates"	"H2O; methanol"	"Water/methanol exposure; leaching and deactivation studies"	"Yes"	"Likely"	"Likely"	"Likely"	"Unclear"	"Hydrothermal/leaching mechanism and stability modifier"	"Water/methanol deactivation"	"Original experiments evaluate how water/methanol solutions and leaching contribute to catalyst deactivation."	"Same research lineage as T1-019 and T1-035; compare run identifiers and figures before treating observations as independent."	"No"	"19"
"T1-021"	"Bernard J. Wood, William E. Isakson & Henry Wise (1980)"	"Kinetic Studies of Catalyst Poisoning during Methanol Synthesis at High Pressures"	"Industrial & Engineering Chemistry Product Research and Development, 19(2), 197–204"	"10.1021/i360074a013"	"https://pubs.acs.org/doi/10.1021/i360074a013"	"Paywalled"	"T1-B"	"High-pressure syngas to methanol"	"Cu-based methanol catalyst"	"Sulfur"	"Sulfur poison; likely H2S"	"Continuous poisoning; kinetic study; regeneration/recovery"	"Yes"	"Yes"	"Likely"	"Yes"	"Yes"	"Sulfur deactivation and regeneration model"	"Recovery/regeneration; independent historical sulfur data"	"A direct high-pressure methanol poisoning study with kinetic and regeneration relevance from an independent group."	"A 1977 SRI/DOE report appears to contain the same work; count the journal article only."	"No"	"8"
"T1-022"	"Dante L. Chiavassa, Julieta Barrandeguy, Adrian L. Bonivardi & Miguel A. Baltanás (2008)"	"Methanol synthesis from CO2/H2 using Ga2O3–Pd/silica catalysts: Impact of reaction products"	"Catalysis Today, 133–135, 780–786"	"10.1016/j.cattod.2007.11.034"	"http://hdl.handle.net/11336/25384"	"Repository copy available"	"T1-A"	"CO2 + H2 to methanol"	"Ga2O3–Pd/SiO2"	"Water / moisture; Carbon oxides"	"H2O; CO"	"Defined reaction-product co-feed/comparison; reactor comparison"	"Yes"	"Yes"	"Yes"	"Likely"	"Unclear"	"Water/CO penalty model for Pd–Ga catalyst"	"Water; non-Cu catalyst family"	"Directly measures how methanol-reaction products affect CO2 hydrogenation over an underrepresented Pd–Ga catalyst."	"Distinct from the group's later kinetic-model paper; retain the 2008 impact-of-products dataset only."	"Yes"	"6"
"T1-023"	"Jingang Wu, Masahiro Saito, Masami Takeuchi & Taiki Watanabe (2001)"	"The stability of Cu/ZnO-based catalysts in methanol synthesis from a CO2-rich feed and from a CO-rich feed"	"Applied Catalysis A: General, 218, 235–240"	"10.1016/S0926-860X(01)00650-0"	"https://doi.org/10.1016/S0926-860X(01)00650-0"	"Paywalled"	"T1-E"	"CO/CO2/H2 syngas to methanol"	"Cu/ZnO and silica-modified Cu/ZnO"	"Water / moisture; Carbon oxides"	"Reaction-generated H2O; CO/CO2 feed composition"	"Long-term realistic-feed comparison"	"Yes"	"Yes"	"Feed composition yes; water not independently dosed"	"Yes"	"No"	"Feed-composition stability modifier; mechanism support"	"Water-related stability; catalyst tolerance"	"Compares CO2-rich and CO-rich feeds and associates water formation with Cu/ZnO crystallization and deactivation."	"Borderline because water is reaction-generated rather than directly dosed; do not pool with direct water-concentration experiments."	"No"	"28"
"T1-024"	"Yang Yang, C. A. Mims, Donghai Mei, Charles H. F. Peden & Charles T. Campbell (2013)"	"Mechanistic studies of methanol synthesis over Cu from CO/CO2/H2/H2O mixtures: The source of C in methanol and the role of water"	"Journal of Catalysis, 298, 10–17"	"10.1016/j.jcat.2012.10.028"	"https://doi.org/10.1016/j.jcat.2012.10.028"	"Paywalled"	"T1-B"	"CO/CO2/H2 syngas to methanol"	"Cu-based catalyst"	"Water / moisture; Carbon oxides"	"H2O; CO; CO2"	"Water co-feed concentration series; mechanistic isotope/kinetic study"	"Yes"	"Yes"	"Yes"	"Likely"	"Unclear"	"Direct water dose-response and mechanism model"	"Water/moisture; concentration response"	"Original methanol-rate experiments over defined CO/CO2/H2/H2O mixtures isolate the role of added water."	"Independent university/national-laboratory collaboration; no apparent overlap with current T1 sources."	"No"	"3"
"T1-025"	"Chaoqin Xu et al. (2021)"	"Development of stable water-resistant Cu-based catalyst for methanol synthesis"	"Applied Catalysis A: General, 623, 118299"	"10.1016/j.apcata.2021.118299"	"https://www.sciencedirect.com/science/article/pii/S0926860X21003136"	"Paywalled"	"T1-B"	"CO/CO2/H2 syngas to methanol"	"Hydrophobic-modified CuZn/SiO2"	"Water / moisture"	"H2O"	"Water exposure; catalyst-tolerance comparison; stability test"	"Yes"	"Yes"	"Likely"	"Yes"	"Unclear"	"Catalyst-family/tolerance modifier under water"	"Water resistance; catalyst comparison"	"Directly evaluates methanol stability in the presence of water and compares hydrophobic catalyst modifications."	"No apparent overlap with existing T1 studies; independent catalyst-design study."	"No"	"7"
