study_id,experimental_row_id,authors_year,source_url,h2s_ppm,h2s_exposure_h,catalyst_mass_g,table_no,table_row,temperature_c,pressure_kpa,total_molar_flow_mol_h,inlet_meoh_fraction,inlet_co_fraction,inlet_h2_fraction,outlet_meoh_fraction,outlet_co_fraction,outlet_h2_fraction,methanol_decomposition_rate_mol_g_h,effectiveness_factor,measurement_status,source_location,notes
T3-002,T3-002-H04-R01,Ying Fang and Zhu 1992,https://hgxb.cip.com.cn/EN/Y1992/V43/I2/139,719,4,3.7276,3,1,260.8,104,0.540,0.0393,0.1100,0.3501,0.0315,0.1171,0.3595,0.001062,0.1805,Reported,PDF printed p. 141 Table 3,"Atmospheric methanol decomposition; not methanol synthesis."
T3-002,T3-002-H04-R02,Ying Fang and Zhu 1992,https://hgxb.cip.com.cn/EN/Y1992/V43/I2/139,719,4,3.7276,3,2,250.0,103,0.552,0.0394,0.1368,0.4556,0.0314,0.1382,0.4636,0.001116,0.3290,Reported,PDF printed p. 141 Table 3,"Atmospheric methanol decomposition; not methanol synthesis."
T3-002,T3-002-H04-R03,Ying Fang and Zhu 1992,https://hgxb.cip.com.cn/EN/Y1992/V43/I2/139,719,4,3.7276,3,3,249.4,103,0.558,0.0585,0.2015,0.3521,0.0494,0.2008,0.3627,0.001234,0.2628,Reported,PDF printed p. 141 Table 3,"Atmospheric methanol decomposition; not methanol synthesis."
T3-002,T3-002-H04-R04,Ying Fang and Zhu 1992,https://hgxb.cip.com.cn/EN/Y1992/V43/I2/139,719,4,3.7276,3,4,271.1,103,0.553,0.0395,0.1703,0.4983,0.0310,0.1672,0.5063,0.001191,0.1423,Reported,PDF printed p. 141 Table 3,"Atmospheric methanol decomposition; not methanol synthesis."
T3-002,T3-002-H04-R05,Ying Fang and Zhu 1992,https://hgxb.cip.com.cn/EN/Y1992/V43/I2/139,719,4,3.7276,3,5,269.8,103,0.552,0.0589,0.1095,0.4066,0.0471,0.1145,0.4191,0.001590,0.1865,Reported,PDF printed p. 141 Table 3,"Atmospheric methanol decomposition; not methanol synthesis."
T3-002,T3-002-H04-R06,Ying Fang and Zhu 1992,https://hgxb.cip.com.cn/EN/Y1992/V43/I2/139,719,4,3.7276,3,6,269.6,103,0.546,0.0684,0.1396,0.3555,0.0531,0.1475,0.3729,0.002037,0.1790,Reported,PDF printed p. 141 Table 3,"Atmospheric methanol decomposition; not methanol synthesis."
T3-002,T3-002-H04-R07,Ying Fang and Zhu 1992,https://hgxb.cip.com.cn/EN/Y1992/V43/I2/139,719,4,3.7276,3,7,279.7,104,0.552,0.0393,0.1988,0.4034,0.0292,0.2053,0.4147,0.001431,0.1185,Reported,PDF printed p. 141 Table 3,"Atmospheric methanol decomposition; not methanol synthesis."
T3-002,T3-002-H04-R08,Ying Fang and Zhu 1992,https://hgxb.cip.com.cn/EN/Y1992/V43/I2/139,719,4,3.7276,3,8,280.1,103,0.551,0.0492,0.1701,0.3533,0.0373,0.1769,0.3672,0.001629,0.1121,Reported,PDF printed p. 141 Table 3,"Atmospheric methanol decomposition; not methanol synthesis."
T3-002,T3-002-H04-R09,Ying Fang and Zhu 1992,https://hgxb.cip.com.cn/EN/Y1992/V43/I2/139,719,4,3.7276,3,9,259.5,104,0.555,0.0883,0.1391,0.4056,0.0478,0.1435,0.4167,0.001426,0.2113,Reported,PDF printed p. 141 Table 3,"Atmospheric methanol decomposition; not methanol synthesis."
T3-002,T3-002-H08-R01,Ying Fang and Zhu 1992,https://hgxb.cip.com.cn/EN/Y1992/V43/I2/139,719,8,3.5824,4,1,261.4,104,0.556,0.0582,0.1390,0.4059,0.0493,0.1363,0.4154,0.001257,0.1686,Reported,PDF printed p. 141 Table 4,"Atmospheric methanol decomposition; not methanol synthesis."
T3-002,T3-002-H08-R02,Ying Fang and Zhu 1992,https://hgxb.cip.com.cn/EN/Y1992/V43/I2/139,719,8,3.5824,4,2,259.5,104,0.555,0.0393,0.1093,0.3529,0.0320,0.1064,0.3616,0.001062,0.1892,Reported,PDF printed p. 141 Table 4,"Atmospheric methanol decomposition; not methanol synthesis."
T3-002,T3-002-H08-R03,Ying Fang and Zhu 1992,https://hgxb.cip.com.cn/EN/Y1992/V43/I2/139,719,8,3.5824,4,3,259.7,104,0.559,0.0584,0.1685,0.4540,0.0476,0.1611,0.4646,0.001538,0.2323,Reported,PDF printed p. 141 Table 4,"Atmospheric methanol decomposition; not methanol synthesis."
T3-002,T3-002-H08-R04,Ying Fang and Zhu 1992,https://hgxb.cip.com.cn/EN/Y1992/V43/I2/139,719,8,3.5824,4,4,259.6,104,0.560,0.0662,0.1987,0.5051,0.0568,0.1893,0.5133,0.001318,0.1863,Reported,PDF printed p. 141 Table 4,"Atmospheric methanol decomposition; not methanol synthesis."
T3-002,T3-002-H08-R05,Ying Fang and Zhu 1992,https://hgxb.cip.com.cn/EN/Y1992/V43/I2/139,719,8,3.5824,4,5,250.8,103,0.569,0.0475,0.1071,0.5009,0.0410,0.1007,0.5068,0.000952,0.2428,Reported,PDF printed p. 141 Table 4,"Atmospheric methanol decomposition; not methanol synthesis."
T3-002,T3-002-H08-R06,Ying Fang and Zhu 1992,https://hgxb.cip.com.cn/EN/Y1992/V43/I2/139,719,8,3.5824,4,6,250.1,104,0.550,0.0581,0.2005,0.3512,0.0513,0.1850,0.3591,0.000944,0.1898,Reported,PDF printed p. 141 Table 4,"Atmospheric methanol decomposition; not methanol synthesis."
T3-002,T3-002-H08-R07,Ying Fang and Zhu 1992,https://hgxb.cip.com.cn/EN/Y1992/V43/I2/139,719,8,3.5824,4,7,250.3,104,0.553,0.0682,0.1700,0.4041,0.0605,0.1572,0.4122,0.001065,0.2044,Reported,PDF printed p. 141 Table 4,"Atmospheric methanol decomposition; not methanol synthesis."
T3-002,T3-002-H08-R08,Ying Fang and Zhu 1992,https://hgxb.cip.com.cn/EN/Y1992/V43/I2/139,719,8,3.5824,4,8,270.3,104,0.560,0.0490,0.1965,0.4543,0.0405,0.1651,0.4628,0.001235,0.1297,Reported,PDF printed p. 141 Table 4,"Atmospheric methanol decomposition; not methanol synthesis."
