catalyst_id,study_id,material,support_or_dopant,preparation,calcination_c,fresh_crystallite_nm,fresh_bet_m2_g,bed_diluent,source_location,doi,notes
GHOSH_UNSUPPORTED_IN2O3_SILICA_BED,GHOSH-2021,cubic In2O3,none; physically mixed silica,precipitated In2O3; composite bed,,,,silica; In2O3:silica=2:1 by mass,main/SI methods audit,10.1016/j.cej.2021.129120,One gram total composite mass is the model mass basis.
WEI_CUBIC_IN2O3_NANOPARTICLES,WEI-2025,cubic In2O3 nanoparticles,none,precipitation from In nitrate with ammonium carbonate,,,,same volume quartz sand,main pp.2-3,10.1016/S1872-2067(25)64657-2,Ar pretreatment at 300 C for 1 h.
SUN_COMMERCIAL_CUBIC_IN2O3_500C,SUN-2015,commercial cubic In2O3,none,commercial Guangfu powder; air calcination,500,25.8,,1.0 g SiC with 0.2 g catalyst,methods; Fig.4 discussion,10.1016/j.jcou.2015.09.002,40-60 mesh catalyst; used crystallite size 28.1 nm.
MARTIN_BULK_NANO_IN2O3,MARTIN-2016,cubic bulk/nanocrystalline In2O3,none,In(OH)3 precipitation then static-air calcination,300,11,113,none reported in activity test,main Table 1; SI methods,10.1002/anie.201600943,Fresh Ar-treated oxygen-defect fraction 23%; after reaction BET 38 m2/g and crystallite 17 nm.
FREI_BULK_NANO_IN2O3,FREI-2018,cubic bixbyite nanocrystalline In2O3,none,In(OH)3 precipitation then static-air calcination,300,8,123,quartz wool retention; no particulate diluent reported,methods and Section 3.1,10.1016/j.jcat.2018.03.014,Pore volume 0.38 cm3/g; dominant (111) exposure.
ARAUJO_BULK_IN2O3,ARAUJO-2021,bulk In2O3,none,same In2O3 family as prior Perez-Ramirez work,,,129,,main methods and Fig.3 discussion,10.1016/j.apcatb.2021.119878,"BET fell to 28 m2/g after the forward full-cycle branch, evidencing history-dependent sintering."
TSOUKALOU_NANO_IN2O3_BN_DILUTED,TSOUKALOU-2019,bcc cubic bixbyite-type In2O3 nanoparticles,none,colloidal In(acac)3 in oleylamine; calcined,400,7,81,BN; 10 mg In2O3 + 100 mg BN for laboratory test,main methods/Section 3; SI Fig. S3,10.1021/jacs.9b04873,Strong time-dependent over-reduction/deactivation under the reported high space velocity.
BECKER_NANO_IN2O3,BECKER-2026,cubic nano-In2O3,none,nanoparticle synthesis; calcined,400,7.88,,SiO2 in laboratory/operando bed,"SI Tables 2, 8 and 10",10.1038/s41467-026-72876-w,PDF coherence length about 10.0 nm.
BECKER_NANO_IN2O3_C650,BECKER-2026,cubic nano-In2O3,none,same nano material; higher-temperature calcination,650,sintered; exact value not tabulated in Table 2,,SiO2,SI Fig.3 and Table 10,10.1038/s41467-026-72876-w,Lower mass-normalized STY but higher areal rate than nano-In2O3 c400.
BECKER_IN1.9SN0.1O3.05,BECKER-2026,Sn-doped cubic In2O3,5 atom-% Sn,doped nanoparticle synthesis,400,8.24,,SiO2,SI Tables 2 and 10,10.1038/s41467-026-72876-w,Rapid deactivation; descriptor-extension row only.
BECKER_IN1.9ZR0.1O3.05,BECKER-2026,Zr-doped cubic In2O3,5 atom-% Zr,doped nanoparticle synthesis,400,8.93,,SiO2,SI Tables 2 and 10,10.1038/s41467-026-72876-w,Stable 4 h row; descriptor-extension row only.
DANG_CUBIC_SPHERICAL_IN2O3,DANG-2020,cubic In2O3 spheres; predominantly {110},none,room-temperature precipitation; aged 80 C; air calcined,300,,112,equal-volume quartz sand,main methods; SI Table S3,10.1126/sciadv.aaz2060,BET after Ar treatment 90 m2/g; standard catalytic discussion uses performance after 44 h.
DANG_CUBIC_PLATE_IN2O3,DANG-2020,cubic In2O3 plate; predominantly {111},none,hydrothermal; air calcined,300,,76,equal-volume quartz sand,main methods; SI Tables S1/S3,10.1126/sciadv.aaz2060,BET after Ar treatment 70 m2/g.
DANG_HEXAGONAL_LAMELLAR_IN2O3,DANG-2020,hexagonal/corundum In2O3 lamella; predominantly {012},none,hydrothermal; air calcined,300,,66,equal-volume quartz sand,main methods; SI Tables S1/S3,10.1126/sciadv.aaz2060,BET after Ar treatment 63 m2/g.
DANG_HEXAGONAL_ROD_IN2O3_104,DANG-2020,hexagonal/corundum In2O3 rods; high {104} exposure,none,hydrothermal; air calcined,300,7,60,equal-volume quartz sand,main methods/Fig. 4; SI Tables S1/S3,10.1126/sciadv.aaz2060,BET after Ar treatment 54 m2/g; crystallite grew to about 24 nm during first 44 h.
YANG_CUBIC_BIXBYITE_IN2O3,YANG-2020,cubic bixbyite In2O3; characteristic {110},none,water-based precipitation route; calcined,,17.9,24.8,,"main text, Figs. 1-2",10.1016/j.cclet.2020.05.031,Surface oxygen-defect fraction 24.5%; apparent surface-reduction peak 212 C.
YANG_RHOMBOHEDRAL_CORUNDUM_IN2O3,YANG-2020,rhombohedral corundum In2O3; characteristic {012},none,methanol-based InOOH route; calcined,,24.9,22.8,,"main text, Figs. 1-2",10.1016/j.cclet.2020.05.031,Surface oxygen-defect fraction 21.2%; apparent surface-reduction peak 307 C.
SUN2020_PRECIPITATED_CUBIC_IN2O3,SUN-2020,cubic In2O3,none,In nitrate/Na2CO3 precipitation at 70 C; aged; air calcined,450,,65.8,0.2 g catalyst + 1.0 g SiC,main methods and p.3 characterization,10.1039/D0GC01597K,Pure reference catalyst in Pt/In2O3 study; N2 purge followed by reaction feed.
