study_id,run_id,pressure_bar,temperature_c,whsv_ml_gcat_h,h2_co2_ratio,co2_conversion_percent,meoh_selectivity_percent,co_selectivity_percent,ch4_selectivity_percent,fit_series,catalyst,source_location
GHOSH-2021,1a,40,200,9000,3,0.15,100,0,0,primary_fit,unsupported_In2O3,Table_2
GHOSH-2021,1b,40,250,9000,3,1.56,79.70,20.30,0,primary_fit,unsupported_In2O3,Table_2
GHOSH-2021,1c,40,300,9000,3,6.27,66.31,33.09,0.60,primary_fit,unsupported_In2O3,Table_2
GHOSH-2021,1d,40,350,9000,3,11.79,30.01,68.66,1.33,primary_fit,unsupported_In2O3,Table_2
GHOSH-2021,1e,40,400,9000,3,22.52,1.25,97.26,1.49,primary_fit,unsupported_In2O3,Table_2
GHOSH-2021,2a,20,300,9000,3,4.25,57.23,42.00,0.76,primary_fit,unsupported_In2O3,Table_2
GHOSH-2021,2b,30,300,9000,3,5.11,62.54,36.74,0.72,primary_fit,unsupported_In2O3,Table_2
GHOSH-2021,2c,40,300,9000,3,5.92,66.24,33.12,0.64,primary_fit,unsupported_In2O3,Table_2
GHOSH-2021,3a,40,300,9000,2,3.59,65.61,33.81,0.58,primary_fit,unsupported_In2O3,Table_2
GHOSH-2021,3b,40,300,9000,3,5.65,66.02,33.36,0.62,primary_fit,unsupported_In2O3,Table_2
GHOSH-2021,3c,40,300,9000,4,7.23,66.76,32.56,0.68,primary_fit,unsupported_In2O3,Table_2
GHOSH-2021,3d,40,300,9000,5,8.79,67.40,31.86,0.74,primary_fit,unsupported_In2O3,Table_2
GHOSH-2021,3e,40,300,9000,6,10.34,67.99,31.20,0.81,primary_fit,unsupported_In2O3,Table_2
GHOSH-2021,4a,40,300,6000,3,6.75,66.25,33.05,0.70,primary_fit,unsupported_In2O3,Table_2
GHOSH-2021,4b,40,300,9000,3,5.74,64.99,34.35,0.66,primary_fit,unsupported_In2O3,Table_2
GHOSH-2021,4c,40,300,12000,3,4.27,65.87,33.44,0.68,primary_fit,unsupported_In2O3,Table_2
GHOSH-2021,4d,40,300,16000,3,3.37,65.15,34.18,0.67,primary_fit,unsupported_In2O3,Table_2
GHOSH-2021,5a,40,200,9000,2,0.08,100,0,0,temperature_ratio_series,unsupported_In2O3,Table_2
GHOSH-2021,5b,40,200,9000,3,0.13,100,0,0,temperature_ratio_series,unsupported_In2O3,Table_2
GHOSH-2021,5c,40,200,9000,4,0.15,100,0,0,temperature_ratio_series,unsupported_In2O3,Table_2
GHOSH-2021,5d,40,250,9000,2,0.96,73.13,26.87,0,temperature_ratio_series,unsupported_In2O3,Table_2
GHOSH-2021,5e,40,250,9000,3,1.35,78.29,21.71,0,temperature_ratio_series,unsupported_In2O3,Table_2
GHOSH-2021,5f,40,250,9000,4,1.77,80.40,19.60,0,temperature_ratio_series,unsupported_In2O3,Table_2
GHOSH-2021,5g,40,300,9000,2,3.93,61.61,37.84,0.54,temperature_ratio_series,unsupported_In2O3,Table_2
GHOSH-2021,5h,40,300,9000,3,5.84,66.34,32.95,0.71,temperature_ratio_series,unsupported_In2O3,Table_2
GHOSH-2021,5i,40,300,9000,4,6.79,69.79,29.63,0.57,temperature_ratio_series,unsupported_In2O3,Table_2
GHOSH-2021,5j,40,350,9000,2,11.51,27.18,71.06,1.76,temperature_ratio_series,unsupported_In2O3,Table_2
GHOSH-2021,5k,40,350,9000,3,13.61,31.28,66.60,2.12,temperature_ratio_series,unsupported_In2O3,Table_2
GHOSH-2021,5l,40,350,9000,4,16.59,35.15,62.59,2.26,temperature_ratio_series,unsupported_In2O3,Table_2
GHOSH-2021,5m,40,400,9000,2,25.80,2.30,96.50,1.20,temperature_ratio_series,unsupported_In2O3,Table_2
GHOSH-2021,5n,40,400,9000,3,23.03,2.68,95.83,1.49,temperature_ratio_series,unsupported_In2O3,Table_2
GHOSH-2021,5o,40,400,9000,4,25.36,3.41,94.87,1.72,temperature_ratio_series,unsupported_In2O3,Table_2
