"Study ID"	"Total Rows"	"Modeling-ready Rows"	"Mechanism-only Rows"	"Manual Extraction Needed"	"Missing Impurity ppm"	"Missing Temperature"	"Missing Pressure"	"Missing H2:CO2 / Feed Ratio"	"Missing GHSV"	"Missing Time on Stream"	"Missing Baseline"	"Missing Impure Outcome"	"Primary Gap Summary"	"Priority"
"T1-001"	"35"	"19"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"No major structured-data gap identified"	"Low"
"T1-002"	"52"	"12"	"40"	"0"	"0"	"0"	"0"	"0"	"52"	"0"	"0"	"0"	"No major structured-data gap identified"	"Low"
"T1-003"	"10"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"No major structured-data gap identified"	"Low"
"T1-004"	"16"	"3"	"11"	"15"	"0"	"0"	"0"	"0"	"16"	"2"	"13"	"2"	"15 manual/graph extractions; 13 missing baselines; 2 missing impurity outcomes"	"High"
"T1-005"	"8"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"8"	"0"	"2"	"0"	"2 missing baselines"	"Low"
"T1-006"	"24"	"19"	"5"	"0"	"5"	"0"	"0"	"0"	"0"	"24"	"7"	"0"	"7 missing baselines; 5 missing standardized ppm"	"Medium"
"T1-007"	"32"	"11"	"20"	"0"	"0"	"0"	"0"	"0"	"32"	"0"	"0"	"0"	"No major structured-data gap identified"	"Low"
"T1-008"	"23"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"17"	"0"	"0"	"No major structured-data gap identified"	"Low"
"T1-009"	"4"	"0"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"2"	"2 manual/graph extractions; 4 missing baselines; 2 missing impurity outcomes"	"High"
"T1-010"	"11"	"6"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"5"	"5"	"0"	"8 manual/graph extractions; 5 missing baselines"	"High"
"T1-012"	"5"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2 manual/graph extractions"	"High"
"T1-013"	"13"	"0"	"0"	"13"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"13 manual/graph extractions"	"High"
"T1-014"	"13"	"5"	"0"	"8"	"0"	"0"	"0"	"0"	"13"	"0"	"0"	"0"	"8 manual/graph extractions"	"High"
"T1-015"	"55"	"53"	"0"	"0"	"0"	"0"	"0"	"0"	"20"	"0"	"0"	"0"	"No major structured-data gap identified"	"Low"
