"Study ID"	"Experimental Row ID"	"Paired Baseline ID"	"Authors & Year"	"Short Title"	"DOI / Link"	"Catalyst"	"Catalyst Details"	"Hydrogen Source"	"Impurity Category"	"Impurity Species"	"Impurity Conc (ppm)"	"Temp (°C)"	"Pressure (bar)"	"H2:CO2 ratio"	"Space velocity (GHSV, /h)"	"Time on stream (h)"	"MeOH metric type"	"Baseline"	"With impurity"	"Recovery Value"	"% change in MeOH"	"Measured / Calculated / Digitized"	"Reversible?"	"Deactivation noted?"	"Notes / mechanism"	"Source quote & page"	"Data Quality"	"Modeling Status"	"Duplicate Status"
"T1-003"	"T1-003-S-CV"	"T1-003-REF-CV"	"Heracleous et al. 2022"	"Valorization of steel-work off-gases: Influence of impurities on the performance of Cu-based methanol synthesis catalyst"	"https://doi.org/10.1016/j.cej.2022.136571"	"CuO/ZnO/Al2O3"	"Clariant pellets 6x4 mm; ball-milled and sieved 250-350 um; equal mass SiC diluent (200 um); ex-situ poisoned samples CuZnAl_S, _N, _Na, _Ca, _Fe"	"Bottled/commercial H2"	"Sulfur"	"H2S"	"400"	"250"	"70"	"H2/CO2=3"	"6500"	"Initial after ~24 h"	"Normalized initial CO2 conversion retention (% of untreated initial)"	"100"	"89.8"	"Not reported"	"-10.2"	"Calculated"	"Not reported"	"Yes"	"Pre-poisoned catalyst comparison | Run/sample: CuZnAl_S | Impurity source: ex-situ catalyst poisoning | Reported concentration: 400 ppm for 5 h at 250 C | Catalyst loading pre: 0.45 wt% | Catalyst loading post: 0.29 wt% | Cu/Zn sulfide formation during poisoning; sulfate detected after passivation; active-site blocking"	"PDF p.3 Table 1; PDF p.7 Fig.4"	"High"	"Modeling-ready for normalized conversion submodel"	"No known duplicate"
"T1-003"	"T1-003-S-MS"	"T1-003-REF-MS"	"Heracleous et al. 2022"	"Valorization of steel-work off-gases: Influence of impurities on the performance of Cu-based methanol synthesis catalyst"	"https://doi.org/10.1016/j.cej.2022.136571"	"CuO/ZnO/Al2O3"	"Clariant pellets 6x4 mm; ball-milled and sieved 250-350 um; equal mass SiC diluent (200 um); ex-situ poisoned samples CuZnAl_S, _N, _Na, _Ca, _Fe"	"Bottled/commercial H2"	"Sulfur"	"H2S"	"400"	"250"	"70"	"H2/CO2=3"	"6500"	"Initial after ~24 h"	"Normalized initial MeOH selectivity retention (% of untreated initial)"	"100"	"90.9"	"Not reported"	"-9.1"	"Calculated"	"Not reported"	"Yes"	"Pre-poisoned catalyst comparison | Run/sample: CuZnAl_S | Impurity source: ex-situ catalyst poisoning | Reported concentration: 400 ppm for 5 h at 250 C | Catalyst loading pre: 0.45 wt% | Catalyst loading post: 0.29 wt% | Active-site blocking; Cu/Zn sulfur phases"	"PDF p.3 Table 1; PDF p.7 Fig.5"	"High"	"Modeling-ready for methanol-output model"	"No known duplicate"
"T1-003"	"T1-003-N-CV"	"T1-003-REF-CV"	"Heracleous et al. 2022"	"Valorization of steel-work off-gases: Influence of impurities on the performance of Cu-based methanol synthesis catalyst"	"https://doi.org/10.1016/j.cej.2022.136571"	"CuO/ZnO/Al2O3"	"Clariant pellets 6x4 mm; ball-milled and sieved 250-350 um; equal mass SiC diluent (200 um); ex-situ poisoned samples CuZnAl_S, _N, _Na, _Ca, _Fe"	"Bottled/commercial H2"	"Nitrogen"	"NH3"	"400"	"250"	"70"	"H2/CO2=3"	"6500"	"Initial after ~24 h"	"Normalized initial CO2 conversion retention (% of untreated initial)"	"100"	"92.1"	"Not reported"	"-7.9"	"Calculated"	"Not reported"	"Yes"	"Pre-poisoned catalyst comparison | Run/sample: CuZnAl_N | Impurity source: ex-situ catalyst poisoning | Reported concentration: 400 ppm for 10 h at 250 C | Catalyst loading pre: 0.04 wt% | Catalyst loading post: 0.01 wt% | Weak N binding and partial removal under high-H2 reaction conditions"	"PDF p.3 Table 1; PDF p.7 Fig.4"	"High"	"Modeling-ready for normalized conversion submodel"	"No known duplicate"
"T1-003"	"T1-003-N-MS"	"T1-003-REF-MS"	"Heracleous et al. 2022"	"Valorization of steel-work off-gases: Influence of impurities on the performance of Cu-based methanol synthesis catalyst"	"https://doi.org/10.1016/j.cej.2022.136571"	"CuO/ZnO/Al2O3"	"Clariant pellets 6x4 mm; ball-milled and sieved 250-350 um; equal mass SiC diluent (200 um); ex-situ poisoned samples CuZnAl_S, _N, _Na, _Ca, _Fe"	"Bottled/commercial H2"	"Nitrogen"	"NH3"	"400"	"250"	"70"	"H2/CO2=3"	"6500"	"Initial after ~24 h"	"Normalized initial MeOH selectivity retention (% of untreated initial)"	"100"	"92.9"	"Not reported"	"-7.1"	"Calculated"	"Not reported"	"Yes"	"Pre-poisoned catalyst comparison | Run/sample: CuZnAl_N | Impurity source: ex-situ catalyst poisoning | Reported concentration: 400 ppm for 10 h at 250 C | Catalyst loading pre: 0.04 wt% | Catalyst loading post: 0.01 wt% | Weak N binding; active-site blocking"	"PDF p.3 Table 1; PDF p.7 Fig.5"	"High"	"Modeling-ready for methanol-output model"	"No known duplicate"
"T1-003"	"T1-003-NA-CV"	"T1-003-REF-CV"	"Heracleous et al. 2022"	"Valorization of steel-work off-gases: Influence of impurities on the performance of Cu-based methanol synthesis catalyst"	"https://doi.org/10.1016/j.cej.2022.136571"	"CuO/ZnO/Al2O3"	"Clariant pellets 6x4 mm; ball-milled and sieved 250-350 um; equal mass SiC diluent (200 um); ex-situ poisoned samples CuZnAl_S, _N, _Na, _Ca, _Fe"	"Bottled/commercial H2"	"Alkali / alkaline earth"	"Na (Na2CO3 precursor)"	"Not applicable"	"250"	"70"	"H2/CO2=3"	"6500"	"Initial after ~24 h"	"Normalized initial CO2 conversion retention (% of untreated initial)"	"100"	"79.6"	"Not reported"	"-20.4"	"Calculated"	"No"	"Yes"	"Pre-poisoned catalyst comparison | Run/sample: CuZnAl_Na | Impurity source: ex-situ incipient-wetness impregnation | Reported concentration: 0.20 wt% nominal | Catalyst loading pre: 0.22 wt% | Catalyst loading post: 0.20 wt% | Cu-site blocking plus increased surface basicity and stronger CO2 binding"	"PDF p.3 Table 1; PDF p.7 Fig.4"	"High"	"Modeling-ready for normalized conversion submodel"	"No known duplicate"
"T1-003"	"T1-003-NA-MS"	"T1-003-REF-MS"	"Heracleous et al. 2022"	"Valorization of steel-work off-gases: Influence of impurities on the performance of Cu-based methanol synthesis catalyst"	"https://doi.org/10.1016/j.cej.2022.136571"	"CuO/ZnO/Al2O3"	"Clariant pellets 6x4 mm; ball-milled and sieved 250-350 um; equal mass SiC diluent (200 um); ex-situ poisoned samples CuZnAl_S, _N, _Na, _Ca, _Fe"	"Bottled/commercial H2"	"Alkali / alkaline earth"	"Na (Na2CO3 precursor)"	"Not applicable"	"250"	"70"	"H2/CO2=3"	"6500"	"Initial after ~24 h"	"Normalized initial MeOH selectivity retention (% of untreated initial)"	"100"	"76.3"	"Not reported"	"-23.7"	"Calculated"	"No"	"Yes"	"Pre-poisoned catalyst comparison | Run/sample: CuZnAl_Na | Impurity source: ex-situ incipient-wetness impregnation | Reported concentration: 0.20 wt% nominal | Catalyst loading pre: 0.22 wt% | Catalyst loading post: 0.20 wt% | Cu-site blocking and basicity modification"	"PDF p.3 Table 1; PDF p.7 Fig.5"	"High"	"Modeling-ready for methanol-output model"	"No known duplicate"
"T1-003"	"T1-003-CA-CV"	"T1-003-REF-CV"	"Heracleous et al. 2022"	"Valorization of steel-work off-gases: Influence of impurities on the performance of Cu-based methanol synthesis catalyst"	"https://doi.org/10.1016/j.cej.2022.136571"	"CuO/ZnO/Al2O3"	"Clariant pellets 6x4 mm; ball-milled and sieved 250-350 um; equal mass SiC diluent (200 um); ex-situ poisoned samples CuZnAl_S, _N, _Na, _Ca, _Fe"	"Bottled/commercial H2"	"Alkali / alkaline earth"	"Ca (Ca nitrate precursor; CaCO3 detected)"	"Not applicable"	"250"	"70"	"H2/CO2=3"	"6500"	"Initial after ~24 h"	"Normalized initial CO2 conversion retention (% of untreated initial)"	"100"	"88.2"	"Not reported"	"-11.8"	"Calculated"	"No"	"Yes"	"Pre-poisoned catalyst comparison | Run/sample: CuZnAl_Ca | Impurity source: ex-situ incipient-wetness impregnation | Reported concentration: 0.15 wt% nominal | Catalyst loading pre: 0.13 wt% | Catalyst loading post: 0.12 wt% | Preferential surface segregation and Cu-site blocking"	"PDF p.3 Table 1; PDF p.7 Fig.4"	"High"	"Modeling-ready for normalized conversion submodel"	"No known duplicate"
"T1-003"	"T1-003-CA-MS"	"T1-003-REF-MS"	"Heracleous et al. 2022"	"Valorization of steel-work off-gases: Influence of impurities on the performance of Cu-based methanol synthesis catalyst"	"https://doi.org/10.1016/j.cej.2022.136571"	"CuO/ZnO/Al2O3"	"Clariant pellets 6x4 mm; ball-milled and sieved 250-350 um; equal mass SiC diluent (200 um); ex-situ poisoned samples CuZnAl_S, _N, _Na, _Ca, _Fe"	"Bottled/commercial H2"	"Alkali / alkaline earth"	"Ca (Ca nitrate precursor; CaCO3 detected)"	"Not applicable"	"250"	"70"	"H2/CO2=3"	"6500"	"Initial after ~24 h"	"Normalized initial MeOH selectivity retention (% of untreated initial)"	"100"	"86.9"	"Not reported"	"-13.1"	"Calculated"	"No"	"Yes"	"Pre-poisoned catalyst comparison | Run/sample: CuZnAl_Ca | Impurity source: ex-situ incipient-wetness impregnation | Reported concentration: 0.15 wt% nominal | Catalyst loading pre: 0.13 wt% | Catalyst loading post: 0.12 wt% | Surface segregation and active-site blocking"	"PDF p.3 Table 1; PDF p.7 Fig.5"	"High"	"Modeling-ready for methanol-output model"	"No known duplicate"
"T1-003"	"T1-003-FE-CV"	"T1-003-REF-CV"	"Heracleous et al. 2022"	"Valorization of steel-work off-gases: Influence of impurities on the performance of Cu-based methanol synthesis catalyst"	"https://doi.org/10.1016/j.cej.2022.136571"	"CuO/ZnO/Al2O3"	"Clariant pellets 6x4 mm; ball-milled and sieved 250-350 um; equal mass SiC diluent (200 um); ex-situ poisoned samples CuZnAl_S, _N, _Na, _Ca, _Fe"	"Bottled/commercial H2"	"Metal / metalloid"	"Fe (Fe nitrate precursor; Fe2O3 detected)"	"Not applicable"	"250"	"70"	"H2/CO2=3"	"6500"	"Initial after ~24 h"	"Normalized initial CO2 conversion retention (% of untreated initial)"	"100"	"82.1"	"Not reported"	"-17.9"	"Calculated"	"No"	"Yes"	"Pre-poisoned catalyst comparison | Run/sample: CuZnAl_Fe | Impurity source: ex-situ incipient-wetness impregnation | Reported concentration: 0.15 wt% nominal | Catalyst loading pre: 0.15 wt% | Catalyst loading post: 0.14 wt% | FeOx surface enrichment/capping layer and Cu-site coverage"	"PDF p.3 Table 1; PDF p.7 Fig.4"	"High"	"Modeling-ready for normalized conversion submodel"	"No known duplicate"
"T1-003"	"T1-003-FE-MS"	"T1-003-REF-MS"	"Heracleous et al. 2022"	"Valorization of steel-work off-gases: Influence of impurities on the performance of Cu-based methanol synthesis catalyst"	"https://doi.org/10.1016/j.cej.2022.136571"	"CuO/ZnO/Al2O3"	"Clariant pellets 6x4 mm; ball-milled and sieved 250-350 um; equal mass SiC diluent (200 um); ex-situ poisoned samples CuZnAl_S, _N, _Na, _Ca, _Fe"	"Bottled/commercial H2"	"Metal / metalloid"	"Fe (Fe nitrate precursor; Fe2O3 detected)"	"Not applicable"	"250"	"70"	"H2/CO2=3"	"6500"	"Initial after ~24 h"	"Normalized initial MeOH selectivity retention (% of untreated initial)"	"100"	"82.2"	"Not reported"	"-17.8"	"Calculated"	"No"	"Yes"	"Pre-poisoned catalyst comparison | Run/sample: CuZnAl_Fe | Impurity source: ex-situ incipient-wetness impregnation | Reported concentration: 0.15 wt% nominal | Catalyst loading pre: 0.15 wt% | Catalyst loading post: 0.14 wt% | FeOx surface enrichment and active-site blocking"	"PDF p.3 Table 1; PDF p.7 Fig.5"	"High"	"Modeling-ready for methanol-output model"	"No known duplicate"
