"Study ID"	"Experimental Row ID"	"Authors & Year"	"Impurity Species"	"Metric Type"	"What Needs Extraction"	"Evidence / Figure / Page"	"Current Quality"	"Modeling Status"	"Completion Status"	"Reviewer Notes"
"T1-004"	"T1-004-ETH"	"He et al. 2020"	"Ethane"	"Normalized XCOx"	"Exact numeric trace requires graph digitization"	"PDF p.4 Fig.2a; PDF p.6 Table 2"	"Medium"	"Mechanism-only"	"Pending"	""
"T1-004"	"T1-004-OCT"	"He et al. 2020"	"Octane"	"Normalized XCOx"	"Exact numeric trace requires graph digitization"	"PDF p.4 Fig.2a; PDF p.6 Table 2"	"Medium"	"Mechanism-only"	"Pending"	""
"T1-004"	"T1-004-CYC"	"He et al. 2020"	"Cyclohexane"	"Normalized XCOx"	"Exact numeric trace requires graph digitization"	"PDF p.4 Fig.2a; PDF p.6 Table 2"	"Medium"	"Mechanism-only"	"Pending"	""
"T1-004"	"T1-004-BENZ-LP"	"He et al. 2020"	"Benzene"	"Normalized XCOx"	"Exact numeric trace requires graph digitization"	"PDF p.4 Fig.2a; PDF p.6 Table 2"	"Medium"	"Mechanism-only"	"Pending"	""
"T1-004"	"T1-004-BENZ-HP"	"He et al. 2020"	"Benzene"	"Methanol performance"	"SI figure needed for numeric trace"	"PDF p.5 text; PDF p.6 Table 2"	"Medium"	"Mechanism-only"	"Pending"	""
"T1-004"	"T1-004-TOL"	"He et al. 2020"	"Toluene"	"Normalized XCOx"	"Exact numeric trace requires graph digitization"	"PDF p.4 Fig.2a; PDF p.6 Table 2"	"Medium"	"Mechanism-only"	"Pending"	""
"T1-004"	"T1-004-NH3-LP"	"He et al. 2020"	"NH3"	"Normalized XCOx"	"Yes"	"PDF p.4 Fig.2b; PDF p.5 text; PDF p.6 Table 2"	"Medium"	"Needs graph digitization"	"Pending"	""
"T1-004"	"T1-004-NH3-HP"	"He et al. 2020"	"NH3"	"Methanol performance"	"SI figure needed for numeric output"	"PDF p.5 text; PDF p.6 Table 2"	"Medium"	"Mechanism-only"	"Pending"	""
"T1-004"	"T1-004-CHA"	"He et al. 2020"	"Cyclohexylamine"	"Normalized XCOx"	"SI figure needed"	"PDF p.5 text; PDF p.6 Table 2"	"Medium"	"Mechanism-only"	"Pending"	""
"T1-004"	"T1-004-PYR"	"He et al. 2020"	"Pyridine"	"Normalized XCOx"	"SI figure needed"	"PDF p.5 text; PDF p.6 Table 2"	"Medium"	"Mechanism-only"	"Pending"	""
"T1-004"	"T1-004-ACN"	"He et al. 2020"	"Acetonitrile"	"Normalized XCOx"	"SI figure needed"	"PDF p.5 text; PDF p.6 Table 2"	"Medium"	"Mechanism-only"	"Pending"	""
"T1-004"	"T1-004-O2-100"	"He et al. 2020"	"O2"	"Relative decrease of WTYMeOH during dosing"	"Exposure duration and per-condition breakdown in SI"	"PDF p.5 results text"	"High"	"Modeling-ready for methanol-output model"	"Pending"	""
"T1-004"	"T1-004-O2-200"	"He et al. 2020"	"O2"	"Relative decrease of WTYMeOH during dosing"	"Exposure duration and per-condition breakdown in SI"	"PDF p.5 results text"	"High"	"Modeling-ready for methanol-output model"	"Pending"	""
"T1-004"	"T1-004-O2-LP"	"He et al. 2020"	"O2"	"Normalized XCOx"	"Yes"	"PDF p.5 Fig.3a; PDF p.6 Table 2"	"Medium"	"Needs graph digitization"	"Pending"	""
"T1-004"	"T1-004-H2S"	"He et al. 2020"	"H2S"	"Methanol performance"	"SI numeric trace needed"	"PDF p.6 Table 2 and conclusions"	"Medium"	"Mechanism-only"	"Pending"	""
"T1-009"	"T1-009-O2-CZZ"	"Warmuth et al. 2026"	"O2"	"Structural aging endpoint"	"Graph digitization required for quantitative crystallite/surface-area endpoints"	"PDF pp.3-5 Figs.3-4 and Table 4; methods pp.5-7 Tables 5-6"	"Low"	"Mechanism-only"	"Pending"	""
