study_id,experimental_row_id,authors_year,source_doi,catalyst_family,catalyst_label,impurity_species,impurity_conc_ppm,impurity_conc_min_ppm,impurity_conc_max_ppm,exposure_h,exposure_events,reactor_phase,exposure_mode,reaction_temp_c,pressure_bar,ghsv_h_minus_1,time_on_stream_h,analysis_family,outcome_cohort,baseline_value,impure_value,reported_value,reported_retention_pct,reported_unit,initial_productivity_g_meoh_h_lcat,measurement_status,data_quality,modeling_role,duplicate_status,evidence_location,notes
T1-001,T1-001-CU-SO2-4H,Schuhle et al. (2020),10.1039/D0CY00946F,Cu/ZnO/Al2O3,"Commercial Cu/ZnO/Al2O3",SO2,500,500,500,4,,gas_fixed_bed,ex_situ_prepoisoning,250,53.8,1952,16,activity_retention,absolute_productivity,0.82,0.63,,,g MeOH g(Cu)^-1 h^-1,,reported,high,primary_candidate,no_known_duplicate,"Main article p. 5; Supporting Information Fig. S8","Paired with the untreated catalyst under the same methanol-test conditions."
T1-001,T1-001-CU-SO2-18H,Schuhle et al. (2020),10.1039/D0CY00946F,Cu/ZnO/Al2O3,"Commercial Cu/ZnO/Al2O3",SO2,500,500,500,18,,gas_fixed_bed,ex_situ_prepoisoning,250,53.8,1952,16,activity_retention,absolute_productivity,0.82,0.52,,,g MeOH g(Cu)^-1 h^-1,,reported,high,primary_candidate,no_known_duplicate,"Main article p. 5; Supporting Information Fig. S8","Paired with the untreated catalyst under the same methanol-test conditions."
T1-001,T1-001-CU-H2S-4H,Schuhle et al. (2020),10.1039/D0CY00946F,Cu/ZnO/Al2O3,"Commercial Cu/ZnO/Al2O3",H2S,610,610,610,4,,gas_fixed_bed,ex_situ_prepoisoning,250,53.8,1952,16,activity_retention,absolute_productivity,0.82,0.74,,,g MeOH g(Cu)^-1 h^-1,,reported,medium,primary_candidate,no_known_duplicate,"Supporting Information Table S3 and Fig. S8","The poisoning-gas composition is reported in Table S3; Fig. S8 does not restate it beside this catalyst series."
T1-001,T1-001-CU-H2S-18H,Schuhle et al. (2020),10.1039/D0CY00946F,Cu/ZnO/Al2O3,"Commercial Cu/ZnO/Al2O3",H2S,610,610,610,18,,gas_fixed_bed,ex_situ_prepoisoning,250,53.8,1952,16,activity_retention,absolute_productivity,0.82,0.52,,,g MeOH g(Cu)^-1 h^-1,,reported,medium,primary_candidate,no_known_duplicate,"Supporting Information Table S3 and Fig. S8","The poisoning-gas composition is reported in Table S3; Fig. S8 does not restate it beside this catalyst series."
T2-001,T2-001-LAB-01,Chai et al. (1991),10.1016/S0167-2991(08)62681-6,Cu/ZnO/Al2O3,"Lab CZA Cu:Zn:Al 4:4:1",H2S,,,,4,8,gas_fixed_bed,pulsed_cofeed,250,50,8000,80,activity_retention,absolute_activity,0.0337,0.0227,,,mol CH3OH mL_cat^-1 h^-1,,reported,high,primary_candidate,no_known_duplicate,"PDF p. 4; printed p. 542; Table 1","Eight 0.5 h H2S pulses; gas-phase H2S concentration was not reported; final catalyst sulfur was 4.58 wt%."
T2-001,T2-001-LAB-02,Chai et al. (1991),10.1016/S0167-2991(08)62681-6,Cu/ZnO/Al2O3,"Lab CZA Cu:Zn:Al 4:4:1",H2S,,,,6.5,13,gas_fixed_bed,pulsed_cofeed,250,50,8000,72,activity_retention,absolute_activity,0.0367,0.0216,,,mol CH3OH mL_cat^-1 h^-1,,reported,high,primary_candidate,no_known_duplicate,"PDF p. 4; printed p. 542; Table 1","Thirteen 0.5 h H2S pulses; gas-phase H2S concentration was not reported; final catalyst sulfur was 10.52 wt%."
T2-001,T2-001-LAB-03,Chai et al. (1991),10.1016/S0167-2991(08)62681-6,Cu/ZnO/Al2O3,"Lab CZA Cu:Zn:Al 4:4:1 internal recycle",H2S,,,,4,8,gas_fixed_bed,pulsed_cofeed,250,50,15000,60,activity_retention,absolute_activity,0.0049,0.0043,,,mol CH3OH mL_cat^-1 h^-1,,reported,high,descriptive_only,no_known_duplicate,"PDF p. 4; printed p. 542; Table 1","Internal-recycle reactor and larger catalyst volume; retention is valid but absolute activity is not directly comparable with the single-pass rows."
T2-001,T2-001-LAB-04,Chai et al. (1991),10.1016/S0167-2991(08)62681-6,Cu/ZnO/Al2O3,"Lab CZA Cu:Zn:Al 8:4:1",H2S,,,,6,12,gas_fixed_bed,pulsed_cofeed,250,50,8000,74,activity_retention,absolute_activity,0.0289,0.0180,,,mol CH3OH mL_cat^-1 h^-1,,reported,high,primary_candidate,no_known_duplicate,"PDF p. 4; printed p. 542; Table 1","Twelve 0.5 h H2S pulses; gas-phase H2S concentration was not reported; final catalyst sulfur was approximately 9 wt%."
T2-001,T2-001-LAB-05,Chai et al. (1991),10.1016/S0167-2991(08)62681-6,Cu/ZnO/Al2O3,"Lab CZA Cu:Zn:Al 4:5:1",H2S,,,,6.5,13,gas_fixed_bed,pulsed_cofeed,250,50,8000,75,activity_retention,absolute_activity,0.0263,0.0179,,,mol CH3OH mL_cat^-1 h^-1,,reported,high,primary_candidate,no_known_duplicate,"PDF p. 4; printed p. 542; Table 1","Thirteen 0.5 h H2S pulses; gas-phase H2S concentration was not reported; final catalyst sulfur was approximately 10 wt%."
T2-001,T2-001-LAB-06,Chai et al. (1991),10.1016/S0167-2991(08)62681-6,Cu/ZnO/Al2O3,"Lab CZA Cu:Zn:Al 4:8:1",H2S,,,,6,12,gas_fixed_bed,pulsed_cofeed,250,50,8000,74,activity_retention,absolute_activity,0.0276,0.0203,,,mol CH3OH mL_cat^-1 h^-1,,reported,high,primary_candidate,no_known_duplicate,"PDF p. 4; printed p. 542; Table 1","Twelve 0.5 h H2S pulses; gas-phase H2S concentration was not reported; final catalyst sulfur was 9.14 wt%."
