study_id,table_row,authors_year,source_doi_or_url,catalyst,temperature_c,h2s_ppm,relative_activity_a,experimental_deactivation_rate_per_h,outcome_family,evidence_location,data_quality,review_note
SX-004,1,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,260,211,0.8920,0.02525,Methanol-decomposition deactivation rate,"PDF p. 12; printed p. 283; Table III",High,"Author-reported derivative -da/dtau."
SX-004,2,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,260,211,0.6401,0.02088,Methanol-decomposition deactivation rate,"PDF p. 12; printed p. 283; Table III",High,"Author-reported derivative -da/dtau."
SX-004,3,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,260,211,0.5579,0.01862,Methanol-decomposition deactivation rate,"PDF p. 12; printed p. 283; Table III",High,"Author-reported derivative -da/dtau."
SX-004,4,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,260,211,0.4911,0.01488,Methanol-decomposition deactivation rate,"PDF p. 12; printed p. 283; Table III",High,"Author-reported derivative -da/dtau."
SX-004,5,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,260,281,0.7892,0.04412,Methanol-decomposition deactivation rate,"PDF p. 12; printed p. 283; Table III",High,"Author-reported derivative -da/dtau."
SX-004,6,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,260,281,0.6473,0.02969,Methanol-decomposition deactivation rate,"PDF p. 12; printed p. 283; Table III",High,"Author-reported derivative -da/dtau."
SX-004,7,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,260,281,0.5289,0.02575,Methanol-decomposition deactivation rate,"PDF p. 12; printed p. 283; Table III",High,"Author-reported derivative -da/dtau."
SX-004,8,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,260,281,0.4476,0.01750,Methanol-decomposition deactivation rate,"PDF p. 12; printed p. 283; Table III",High,"Author-reported derivative -da/dtau."
SX-004,9,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,260,281,0.3773,0.01450,Methanol-decomposition deactivation rate,"PDF p. 12; printed p. 283; Table III",High,"Author-reported derivative -da/dtau."
SX-004,10,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,260,157,1.0000,0.03000,Methanol-decomposition deactivation rate,"PDF p. 12; printed p. 283; Table III",High,"Author-reported derivative -da/dtau."
SX-004,11,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,260,157,0.8900,0.02500,Methanol-decomposition deactivation rate,"PDF p. 12; printed p. 283; Table III",High,"Author-reported derivative -da/dtau."
SX-004,12,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,260,157,0.8004,0.02025,Methanol-decomposition deactivation rate,"PDF p. 12; printed p. 283; Table III",High,"Author-reported derivative -da/dtau."
SX-004,13,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,260,157,0.7256,0.01688,Methanol-decomposition deactivation rate,"PDF p. 12; printed p. 283; Table III",High,"Author-reported derivative -da/dtau."
SX-004,14,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,260,157,0.6624,0.01569,Methanol-decomposition deactivation rate,"PDF p. 12; printed p. 283; Table III",High,"Author-reported derivative -da/dtau."
SX-004,15,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,260,157,0.5927,0.01525,Methanol-decomposition deactivation rate,"PDF p. 12; printed p. 283; Table III",High,"Author-reported derivative -da/dtau."
SX-004,16,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,260,157,0.5400,0.01125,Methanol-decomposition deactivation rate,"PDF p. 12; printed p. 283; Table III",High,"Author-reported derivative -da/dtau."
SX-004,17,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,260,157,0.9103,0.02013,Methanol-decomposition deactivation rate,"PDF p. 12; printed p. 283; Table III",Medium,"The source prints 157 ppm, but the ordering and Figure 2 suggest this may be the first 105 ppm point. Preserve the printed value until independently resolved."
SX-004,18,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,260,105,0.8390,0.01556,Methanol-decomposition deactivation rate,"PDF p. 12; printed p. 283; Table III",High,"Author-reported derivative -da/dtau."
SX-004,19,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,260,105,0.7842,0.01269,Methanol-decomposition deactivation rate,"PDF p. 12; printed p. 283; Table III",High,"Author-reported derivative -da/dtau."
SX-004,20,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,260,105,0.7305,0.01225,Methanol-decomposition deactivation rate,"PDF p. 12; printed p. 283; Table III",High,"Author-reported derivative -da/dtau."
SX-004,21,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,250,211,1.0000,0.02887,Methanol-decomposition deactivation rate,"PDF p. 12; printed p. 283; Table III",High,"Author-reported derivative -da/dtau."
SX-004,22,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,250,211,0.8973,0.02262,Methanol-decomposition deactivation rate,"PDF p. 12; printed p. 283; Table III",High,"Author-reported derivative -da/dtau."
SX-004,23,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,250,211,0.8188,0.01813,Methanol-decomposition deactivation rate,"PDF p. 12; printed p. 283; Table III",High,"Author-reported derivative -da/dtau."
SX-004,24,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,250,211,0.7384,0.01863,Methanol-decomposition deactivation rate,"PDF p. 12; printed p. 283; Table III",High,"Author-reported derivative -da/dtau."
SX-004,25,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,265,211,1.0000,0.04037,Methanol-decomposition deactivation rate,"PDF p. 12; printed p. 283; Table III",High,"Author-reported derivative -da/dtau."
SX-004,26,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,265,211,0.8422,0.03863,Methanol-decomposition deactivation rate,"PDF p. 12; printed p. 283; Table III",High,"Author-reported derivative -da/dtau."
SX-004,27,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,265,211,0.6914,0.03656,Methanol-decomposition deactivation rate,"PDF p. 12; printed p. 283; Table III",High,"Author-reported derivative -da/dtau."
SX-004,28,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,265,211,0.4477,0.02362,Methanol-decomposition deactivation rate,"PDF p. 12; printed p. 283; Table III",High,"Author-reported derivative -da/dtau."
