"Study ID"	"Batch"	"Authors & Year"	"Short Title"	"DOI / Link"	"Uploaded File"	"Catalyst"	"Catalyst Details"	"Hydrogen Source"	"Experimental Rows"	"Modeling-ready Rows"	"Manual Extraction Rows"	"Duplicate-flagged Rows"	"Primary Evidence"	"Extraction Notes"
"T1-001"	"4"	"Schuhle et al. 2020"	"Influence of gas impurities on the hydrogenation of CO2 to methanol using indium-based catalysts"	"https://doi.org/10.1039/D0CY00946F"	"T1-001.pdf"	"10.5 wt% In2O3/ZrO2; commercial Cu/ZnO/Al2O3 comparator"	"In catalyst prepared by wet impregnation on ZrO2 pellets; commercial Cu catalyst 63.5% CuO/24.7% ZnO/10.1% Al2O3/1.3% MgO"	"Bottled/commercial H2"	"35"	"19"	"0"	"0"	"PDF pp.4-11; Figs.2,3,7,8,10-12"	"Impurities were applied ex situ to the catalyst before a clean CO2/H2 methanol test. These observations model retained catalyst poisoning, not instantaneous impurity concentration in the synthesis feed."
"T1-002"	"2"	"Henriksson 2016"	"Effect of impurities on hydrogenation of CO2"	"Not reported"	"T1-002.pdf"	"Commercial CuO/ZnO; commercial Ni; in-house 5Fe/5Mn/Al2O3; in-house 100Fe/4.6Si/2Cu/1.4K"	"Cu: BASF, CuO 50-75 wt%, ZnO 15-20 wt%, pellets 1.5x1.5 mm, density 1.8 g/cm3, BET 64.8 m2/g. Ni: BASF, 15 wt% NiO, 0.2-0.3 mm. FeMn: impregnated 5Fe/5Mn/Al2O3 wt%, BET 200 m2/g. Low-alpha-Fe: precipitated atomic ratio 100Fe/4.6Si/2Cu/1.4K."	"Bottled/commercial H2"	"52"	"12"	"0"	"0"	"PDF pp.51-56 Tables 12-14; pp.62-64 Tables 16-19; pp.73-81 Tables 21-28"	"MEA/H2S pulse rows measure methane, not methanol, and are mechanism/secondary-outcome data. PFR H2S rows contain direct CO2 conversion, MeOH yield, and MeOH selectivity with recovery periods. Poisoning stages altered total reactant flow; comparisons are retained because the author explicitly compares stages, but this is a confounding factor."
"T1-003"	"1"	"Heracleous et al. 2022"	"Valorization of steel-work off-gases: Influence of impurities on the performance of Cu-based methanol synthesis catalyst"	"https://doi.org/10.1016/j.cej.2022.136571"	"T1-003.pdf"	"Commercial CuO/ZnO/Al2O3"	"Clariant pellets 6x4 mm; ball-milled and sieved 250-350 um; equal mass SiC diluent (200 um); ex-situ poisoned samples CuZnAl_S, _N, _Na, _Ca, _Fe"	"Bottled/commercial H2 (paper states all H2/N2/CO2 gases >99.999%)"	"10"	"10"	"0"	"0"	"PDF pp.2-3 methods; Table 1 PDF p.3; Figs.4-5 PDF p.7"	"Pre-poisoned catalyst experiment, not continuous impurity in reaction feed. Normalized figure values are retained as normalized metrics only."
"T1-004"	"1"	"He et al. 2020"	"Influence of Contaminants in Steel Mill Exhaust Gases on Cu/ZnO/Al2O3 Catalysts Applied in Methanol Synthesis"	"https://doi.org/10.1002/cite.202000045"	"T1-004.pdf"	"Industrial Cu/ZnO/Al2O3"	"Clariant industrial catalyst; sieve fraction 250-355 um; 0.2-1.0 g depending setup (CEC1 0.5 g; CEC2 1.0 g; RUB1 0.3 g; RUB2 0.2 g)"	"Synthetic laboratory feed; paper discusses adding sustainable H2 but experimental feed is mixed high-purity gases"	"16"	"3"	"15"	"0"	"PDF pp.2-3 methods; Table 2 PDF p.6; Figs.2-4 PDF pp.4-5"	"Main PDF extracted. Supporting information is referenced but not present locally; SI-only numerical traces remain flagged."
"T1-005"	"4"	"Bie et al. 2025"	"NH3-Induced Challenges in CO2 Hydrogenation over the Cu/ZnO/Al2O3 Catalyst"	"https://doi.org/10.1021/jacsau.4c01097"	"T1-005.pdf"	"Commercial Cu/ZnO/Al2O3"	"58.2 wt% Cu and 29.6 wt% ZnO by ICP-OES"	"Synthetic laboratory feed"	"8"	"2"	"0"	"0"	"PDF pp.2-5, 10-12; Figs.1,3,7"	"Only the 30-bar experiment supplies methanol-specific outcomes. Most other quantitative rows are RWGS mechanism/context and are not pooled as methanol observations."
"T1-006"	"3"	"Quinn et al. 2004"	"An evaluation of synthesis gas contaminants as methanol synthesis catalyst poisons"	"https://doi.org/10.1016/j.apcata.2004.05.015"	"T1-006.pdf"	"Commercial CuO/ZnO/Al2O3 methanol-synthesis catalyst"	"Powder catalyst; about 10 g oxide catalyst suspended in about 120 g commercial mineral oil"	"Coal-derived syngas"	"24"	"19"	"0"	"0"	"PDF pp.2-5; Tables 1-5"	"Tables 1-2 deactivation runs duplicate laboratory runs in T1-008. T1-006 is designated the primary peer-reviewed quantitative record for those shared observations; do not count corresponding T1-008 rows independently. Table 4 AsH3 and Table 5 AsH3 values are imported from Ref. 10 and are not counted as new T1-006 experiments."
"T1-007"	"5"	"Berube, Sung, and Vannice 1987"	"Sulfur poisoning of supported palladium methanol synthesis catalysts"	"https://doi.org/10.1016/S0166-9834(00)80672-7"	"T1-007.pdf"	"Pd/SiO2, Pd/gamma-Al2O3, Pd/SiO2-Al2O3, Pd/TiO2, Pd/Nd2O3"	"0.80-2.33 wt% Pd; impregnation from PdCl2; air-dried 393 K 16 h; MTR/LTR/HTR pretreatments"	"Bottled/commercial H2"	"32"	"11"	"0"	"0"	"PDF pp.13-16 Tables 5-7; pp.2-9 methods"	"No post-removal recovery experiment: H2S remained in feed while reactor cooled, so reversibility is not inferred."
"T1-008"	"1"	"Air Products/Eastman 2003"	"Removal of Trace Contaminants from Coal-Derived Synthesis Gas"	"Not reported"	"T1-008.pdf"	"Alternative LPMEOH methanol-synthesis catalyst"	"Alternative commercial/process catalyst used at Kingsport since Oct. 1998; ~10 g oxide powder in ~120 g mineral oil for lab poisoning"	"Coal-derived syngas"	"23"	"23"	"0"	"14"	"Appendix A PDF p.83 (printed p.77); Tables 1,4,7,10,14,17 PDF pp.13,16,17,19,21,24"	"Deactivation-rate dataset. A return of the deactivation slope toward baseline is not treated as restoration of lost activity."
"T1-009"	"2"	"Warmuth et al. 2026"	"Investigation of methanol catalyst stability in presence of potential green hydrogen impurities"	"https://doi.org/10.1016/j.ijhydene.2026.153382"	"T1-009.pdf"	"Cu/ZnO/ZrO2 (CZZ) and Cu/ZnO/ZrO2/SiO2 (CZZSi)"	"Co-precipitated; CZZ 64/31/5 Cu/Zn/Zr mol%; CZZSi reported as 60/32/2/10 Cu/Zn/Si/Zr mol% in Table 5; Si enrichment about 1 wt% discussed."	"Synthetic laboratory feed"	"4"	"0"	"2"	"0"	"PDF pp.2-6 Tables 2-6 and Figs.1-4"	"The paper characterizes structural aging and proposed mechanisms; it does not report paired methanol production, yield, selectivity, or conversion values. Do not label the actual cylinder-gas experiment Green H2 merely because renewable routes motivated the scenarios."
"T1-010"	"3"	"Ma et al. 2008"	"Study on the sulfur tolerance of catalysts for syngas to methanol"	"https://doi.org/10.1016/j.catcom.2008.07.045"	"T1-010.pdf"	"Cu/ZnO; 15 wt% Pd/Al2O3; 15 wt% Pd/CeO2"	"Pd/CeO2 co-precipitated from PdCl2 and cerium nitrate with Na2CO3 at 55 C and pH 8-9; dried 120 C overnight; calcined 360 C 6 h; pelletized 20 MPa, crushed/sieved 20-40 mesh. Pd/Al2O3 and Cu/ZnO (Cu:Zn=2 molar) prepared similarly."	"Synthetic laboratory feed"	"11"	"6"	"8"	"2"	"PDF pp.1-4; Figs.1-5 and explicit results text"	"Pd/CeO2 30 ppm H2S stability data likely overlap T1-012. Cu/ZnO and Pd/Al2O3 experiments in this paper used 3 ppm H2S and are not duplicates of T1-012's Pd/Al2O3 30 ppm run. Graph-only series are not guessed."
