scope,predictor,response,n,independent_studies,distinct_predictor_values,pearson_r,spearman_rank_rho,ols_slope_residual_per_predictor_unit,interpretation
primary_all_after_yang_resolution,temperature,co2_conversion,88,6,14,0.11428789041639635,0.08233937309093242,0.010919291136379218,descriptive_association_not_causal_evidence
primary_all_after_yang_resolution,temperature,meoh_selectivity,88,6,14,0.4337553380600107,0.47090997767043435,0.25555192518375947,descriptive_association_not_causal_evidence
primary_all_after_yang_resolution,temperature,meoh_yield,88,6,14,0.3695100249273229,0.5056316964065,0.029819672666727255,descriptive_association_not_causal_evidence
primary_all_after_yang_resolution,pressure,co2_conversion,88,6,5,-0.2978175306167053,-0.47374503218737757,-0.0734064596807814,descriptive_association_not_causal_evidence
primary_all_after_yang_resolution,pressure,meoh_selectivity,88,6,5,-0.4007978094001531,-0.5025007425733903,-0.6091853563529963,descriptive_association_not_causal_evidence
primary_all_after_yang_resolution,pressure,meoh_yield,88,6,5,-0.3759478061973871,-0.4728219664426094,-0.07826975831610576,descriptive_association_not_causal_evidence
primary_all_after_yang_resolution,h2_co2_ratio,co2_conversion,88,6,6,0.19661882072881157,0.04753698910456656,1.0212887946880411,descriptive_association_not_causal_evidence
primary_all_after_yang_resolution,h2_co2_ratio,meoh_selectivity,88,6,6,0.3199849307014164,0.250828187470412,10.249273952674695,descriptive_association_not_causal_evidence
primary_all_after_yang_resolution,h2_co2_ratio,meoh_yield,88,6,6,0.2571635996979333,0.2443311122459831,1.1282761124117648,descriptive_association_not_causal_evidence
primary_all_after_yang_resolution,whsv,co2_conversion,88,6,15,0.028716229153615904,0.28666826030425,1.6272724581169927e-06,descriptive_association_not_causal_evidence
primary_all_after_yang_resolution,whsv,meoh_selectivity,88,6,15,-0.05455498496973847,0.4264274466779795,-1.906370897330873e-05,descriptive_association_not_causal_evidence
primary_all_after_yang_resolution,whsv,meoh_yield,88,6,15,0.022102610140377905,0.4250110579964921,1.057934656571153e-06,descriptive_association_not_causal_evidence
